,method,time,PDI91101,FI91601,FA,L2,LIMS_S905_Water,LIMS_S907_Water
210,Polynomial,2.69,0.0,567.08,0.504,0.41900000000000004,0.0,0.0
211,Polynomial,2.69,0.0,567.08,0.504,0.42000000000000004,0.0,0.0
212,Polynomial,2.69,0.0,567.08,0.504,0.42100000000000004,0.0,0.0
213,Polynomial,2.69,0.0,567.08,0.504,0.42200000000000004,0.0,0.0
214,Polynomial,2.69,0.0,567.08,0.504,0.42300000000000004,0.0,0.0
215,Polynomial,2.69,0.0,567.08,0.504,0.42400000000000004,0.0,0.0
216,Polynomial,2.69,0.0,567.08,0.504,0.42500000000000004,0.0,0.0
217,Polynomial,2.69,0.0,567.08,0.504,0.42600000000000005,0.0,0.0
218,Polynomial,2.69,0.0,567.08,0.504,0.42700000000000005,0.0,0.0
219,Polynomial,2.69,0.0,567.08,0.504,0.42800000000000005,0.0,0.0
220,Polynomial,2.69,0.0,567.08,0.504,0.42900000000000005,0.0,0.0
221,Polynomial,2.69,0.0,567.08,0.504,0.43000000000000005,0.0,0.0
222,Polynomial,2.69,0.0,567.08,0.504,0.43100000000000005,0.0,0.0
223,Polynomial,2.69,0.0,567.08,0.504,0.43200000000000005,0.0,0.0
224,Polynomial,2.69,0.0,567.08,0.504,0.43300000000000005,0.0,0.0
225,Polynomial,2.69,0.0,567.08,0.504,0.43400000000000005,0.0,0.0
226,Polynomial,2.69,0.0,567.08,0.504,0.43500000000000005,0.0,0.0
227,Polynomial,2.69,0.0,567.08,0.504,0.43600000000000005,0.0,0.0
228,Polynomial,2.69,0.0,567.08,0.504,0.43700000000000006,0.0,0.0
229,Polynomial,2.69,0.0,567.08,0.504,0.43800000000000006,0.0,0.0
230,Polynomial,2.69,0.0,567.08,0.504,0.43900000000000006,0.0,0.0
231,Polynomial,2.69,0.0,567.08,0.504,0.44000000000000006,0.0,0.0
232,Polynomial,2.69,0.0,567.08,0.504,0.44100000000000006,0.0,0.0
233,Polynomial,2.69,0.0,567.08,0.504,0.44200000000000006,0.0,0.0
234,Polynomial,2.69,0.0,567.08,0.504,0.44300000000000006,0.0,0.0
235,Polynomial,2.69,0.0,567.08,0.504,0.44400000000000006,0.0,0.0
236,Polynomial,2.69,0.0,567.08,0.504,0.44500000000000006,0.0,0.0
237,Polynomial,2.69,0.0,567.08,0.504,0.44600000000000006,0.0,0.0
238,Polynomial,2.69,0.0,567.08,0.504,0.44700000000000006,0.0,0.0
239,Polynomial,2.69,0.0,567.08,0.504,0.44800000000000006,0.0,0.0
240,Polynomial,2.69,0.0,567.08,0.504,0.44900000000000007,0.0,0.0
241,Polynomial,2.69,0.0,567.08,0.504,0.45000000000000007,0.0,0.0
242,Polynomial,2.69,0.0,567.08,0.504,0.45100000000000007,0.0,0.0
243,Polynomial,2.69,0.0,567.08,0.504,0.45200000000000007,0.0,0.0
244,Polynomial,2.69,0.0,567.08,0.504,0.45300000000000007,0.0,0.0
245,Polynomial,2.69,0.0,567.08,0.504,0.45400000000000007,0.0,0.0
246,Polynomial,2.69,0.0,567.08,0.504,0.45500000000000007,0.0,0.0
247,Polynomial,2.69,0.0,567.08,0.504,0.45600000000000007,0.0,0.0
248,Polynomial,2.69,0.0,567.08,0.504,0.4570000000000001,0.0,0.0
249,Polynomial,2.69,0.0,567.08,0.504,0.4580000000000001,0.0,0.0
250,Polynomial,2.69,0.0,567.08,0.504,0.4590000000000001,0.0,0.0
251,Polynomial,2.69,0.0,567.08,0.504,0.4600000000000001,0.0,0.0
252,Polynomial,2.69,0.0,567.08,0.504,0.4610000000000001,0.0,0.0
253,Polynomial,2.69,0.0,567.08,0.504,0.4620000000000001,0.0,0.0
254,Polynomial,2.69,0.0,567.08,0.504,0.4630000000000001,0.0,0.0
255,Polynomial,2.69,0.0,567.08,0.504,0.4640000000000001,0.0,0.0
256,Polynomial,2.69,0.0,567.08,0.504,0.4650000000000001,0.0,0.0
257,Polynomial,2.69,0.0,567.08,0.504,0.4660000000000001,0.0,0.0
258,Polynomial,2.69,0.0,567.08,0.504,0.4670000000000001,0.0,0.0
259,Polynomial,2.69,0.0,567.08,0.504,0.4680000000000001,0.0,0.0
260,Polynomial,2.69,0.0,567.08,0.504,0.4690000000000001,0.0,0.0
261,Polynomial,2.69,0.0,567.08,0.504,0.4700000000000001,0.0,0.0
262,Polynomial,2.69,0.0,567.08,0.504,0.4710000000000001,0.0,0.0
263,Polynomial,2.69,0.0,567.08,0.504,0.4720000000000001,0.0,0.0
264,Polynomial,2.69,0.0,567.08,0.504,0.4730000000000001,0.0,0.0
265,Polynomial,2.69,0.0,567.08,0.504,0.4740000000000001,0.0,0.0
266,Polynomial,2.69,0.0,567.08,0.504,0.4750000000000001,0.0,0.0
267,Polynomial,2.69,0.0,567.08,0.504,0.4760000000000001,0.0,0.0
268,Polynomial,2.69,0.0,567.08,0.504,0.4770000000000001,0.0,0.0
269,Polynomial,2.69,0.0,567.08,0.504,0.4780000000000001,0.0,0.0
270,Polynomial,2.69,0.0,567.08,0.504,0.4790000000000001,0.0,0.0
271,Polynomial,2.69,0.0,567.08,0.504,0.48,0.0,0.0
272,Polynomial,2.68,0.0,567.08,0.505,0.345,0.0,0.0
273,Polynomial,2.68,0.0,567.08,0.505,0.346,0.0,0.0
274,Polynomial,2.68,0.0,567.08,0.505,0.347,0.0,0.0
275,Polynomial,2.68,0.0,567.08,0.505,0.348,0.0,0.0
276,Polynomial,2.68,0.0,567.08,0.505,0.349,0.0,0.0
277,Polynomial,2.68,0.0,567.08,0.505,0.35,0.0,0.0
278,Polynomial,2.68,0.0,567.08,0.505,0.351,0.0,0.0
279,Polynomial,2.68,0.0,567.08,0.505,0.352,0.0,0.0
280,Polynomial,2.68,0.0,567.08,0.505,0.353,0.0,0.0
281,Polynomial,2.68,0.0,567.08,0.505,0.354,0.0,0.0
282,Polynomial,2.68,0.0,567.08,0.505,0.355,0.0,0.0
283,Polynomial,2.68,0.0,567.08,0.505,0.356,0.0,0.0
284,Polynomial,2.68,0.0,567.08,0.505,0.357,0.0,0.0
285,Polynomial,2.68,0.0,567.08,0.505,0.358,0.0,0.0
286,Polynomial,2.69,0.0,567.08,0.505,0.359,0.0,0.0
287,Polynomial,2.69,0.0,567.08,0.505,0.36,0.0,0.0
288,Polynomial,2.69,0.0,567.08,0.505,0.361,0.0,0.0
289,Polynomial,2.69,0.0,567.08,0.505,0.362,0.0,0.0
290,Polynomial,2.69,0.0,567.08,0.505,0.363,0.0,0.0
291,Polynomial,2.69,0.0,567.08,0.505,0.364,0.0,0.0
292,Polynomial,2.69,0.0,567.08,0.505,0.365,0.0,0.0
293,Polynomial,2.69,0.0,567.08,0.505,0.366,0.0,0.0
294,Polynomial,2.69,0.0,567.08,0.505,0.367,0.0,0.0
295,Polynomial,2.69,0.0,567.08,0.505,0.368,0.0,0.0
296,Polynomial,2.69,0.0,567.08,0.505,0.369,0.0,0.0
297,Polynomial,2.69,0.0,567.08,0.505,0.37,0.0,0.0
298,Polynomial,2.69,0.0,567.08,0.505,0.371,0.0,0.0
299,Polynomial,2.69,0.0,567.08,0.505,0.372,0.0,0.0
300,Polynomial,2.69,0.0,567.08,0.505,0.373,0.0,0.0
301,Polynomial,2.69,0.0,567.08,0.505,0.374,0.0,0.0
302,Polynomial,2.69,0.0,567.08,0.505,0.375,0.0,0.0
303,Polynomial,2.69,0.0,567.08,0.505,0.376,0.0,0.0
304,Polynomial,2.69,0.0,567.08,0.505,0.377,0.0,0.0
305,Polynomial,2.69,0.0,567.08,0.505,0.378,0.0,0.0
306,Polynomial,2.69,0.0,567.08,0.505,0.379,0.0,0.0
307,Polynomial,2.69,0.0,567.08,0.505,0.38,0.0,0.0
308,Polynomial,2.69,0.0,567.08,0.505,0.381,0.0,0.0
309,Polynomial,2.69,0.0,567.08,0.505,0.382,0.0,0.0
310,Polynomial,2.69,0.0,567.08,0.505,0.383,0.0,0.0
311,Polynomial,2.69,0.0,567.08,0.505,0.384,0.0,0.0
312,Polynomial,2.69,0.0,567.08,0.505,0.385,0.0,0.0
313,Polynomial,2.69,0.0,567.08,0.505,0.386,0.0,0.0
314,Polynomial,2.69,0.0,567.08,0.505,0.387,0.0,0.0
315,Polynomial,2.69,0.0,567.08,0.505,0.388,0.0,0.0
316,Polynomial,2.69,0.0,567.08,0.505,0.389,0.0,0.0
317,Polynomial,2.69,0.0,567.08,0.505,0.39,0.0,0.0
318,Polynomial,2.69,0.0,567.08,0.505,0.391,0.0,0.0
319,Polynomial,2.69,0.0,567.08,0.505,0.392,0.0,0.0
320,Polynomial,2.69,0.0,567.08,0.505,0.393,0.0,0.0
321,Polynomial,2.69,0.0,567.08,0.505,0.394,0.0,0.0
322,Polynomial,2.69,0.0,567.08,0.505,0.395,0.0,0.0
323,Polynomial,2.69,0.0,567.08,0.505,0.396,0.0,0.0
324,Polynomial,2.69,0.0,567.08,0.505,0.397,0.0,0.0
325,Polynomial,2.69,0.0,567.08,0.505,0.398,0.0,0.0
326,Polynomial,2.69,0.0,567.08,0.505,0.399,0.0,0.0
327,Polynomial,2.69,0.0,567.08,0.505,0.4,0.0,0.0
328,Polynomial,2.69,0.0,567.08,0.505,0.401,0.0,0.0
329,Polynomial,2.69,0.0,567.08,0.505,0.402,0.0,0.0
330,Polynomial,2.69,0.0,567.08,0.505,0.403,0.0,0.0
331,Polynomial,2.69,0.0,567.08,0.505,0.404,0.0,0.0
332,Polynomial,2.69,0.0,567.08,0.505,0.405,0.0,0.0
333,Polynomial,2.69,0.0,567.08,0.505,0.406,0.0,0.0
334,Polynomial,2.69,0.0,567.08,0.505,0.40700000000000003,0.0,0.0
335,Polynomial,2.69,0.0,567.08,0.505,0.40800000000000003,0.0,0.0
336,Polynomial,2.69,0.0,567.08,0.505,0.40900000000000003,0.0,0.0
337,Polynomial,2.69,0.0,567.08,0.505,0.41000000000000003,0.0,0.0
338,Polynomial,2.69,0.0,567.08,0.505,0.41100000000000003,0.0,0.0
339,Polynomial,2.69,0.0,567.08,0.505,0.41200000000000003,0.0,0.0
340,Polynomial,2.69,0.0,567.08,0.505,0.41300000000000003,0.0,0.0
341,Polynomial,2.69,0.0,567.08,0.505,0.41400000000000003,0.0,0.0
342,Polynomial,2.69,0.0,567.08,0.505,0.41500000000000004,0.0,0.0
343,Polynomial,2.69,0.0,567.08,0.505,0.41600000000000004,0.0,0.0
344,Polynomial,2.69,0.0,567.08,0.505,0.41700000000000004,0.0,0.0
345,Polynomial,2.69,0.0,567.08,0.505,0.41800000000000004,0.0,0.0
346,Polynomial,2.69,0.0,567.08,0.505,0.41900000000000004,0.0,0.0
347,Polynomial,2.69,0.0,567.08,0.505,0.42000000000000004,0.0,0.0
348,Polynomial,2.69,0.0,567.08,0.505,0.42100000000000004,0.0,0.0
349,Polynomial,2.69,0.0,567.08,0.505,0.42200000000000004,0.0,0.0
350,Polynomial,2.69,0.0,567.08,0.505,0.42300000000000004,0.0,0.0
351,Polynomial,2.69,0.0,567.08,0.505,0.42400000000000004,0.0,0.0
352,Polynomial,2.69,0.0,567.08,0.505,0.42500000000000004,0.0,0.0
353,Polynomial,2.69,0.0,567.08,0.505,0.42600000000000005,0.0,0.0
354,Polynomial,2.69,0.0,567.08,0.505,0.42700000000000005,0.0,0.0
355,Polynomial,2.69,0.0,567.08,0.505,0.42800000000000005,0.0,0.0
356,Polynomial,2.69,0.0,567.08,0.505,0.42900000000000005,0.0,0.0
357,Polynomial,2.69,0.0,567.08,0.505,0.43000000000000005,0.0,0.0
358,Polynomial,2.69,0.0,567.08,0.505,0.43100000000000005,0.0,0.0
359,Polynomial,2.69,0.0,567.08,0.505,0.43200000000000005,0.0,0.0
360,Polynomial,2.69,0.0,567.08,0.505,0.43300000000000005,0.0,0.0
361,Polynomial,2.69,0.0,567.08,0.505,0.43400000000000005,0.0,0.0
362,Polynomial,2.69,0.0,567.08,0.505,0.43500000000000005,0.0,0.0
363,Polynomial,2.69,0.0,567.08,0.505,0.43600000000000005,0.0,0.0
364,Polynomial,2.69,0.0,567.08,0.505,0.43700000000000006,0.0,0.0
365,Polynomial,2.69,0.0,567.08,0.505,0.43800000000000006,0.0,0.0
366,Polynomial,2.69,0.0,567.08,0.505,0.43900000000000006,0.0,0.0
367,Polynomial,2.69,0.0,567.08,0.505,0.44000000000000006,0.0,0.0
368,Polynomial,2.69,0.0,567.08,0.505,0.44100000000000006,0.0,0.0
369,Polynomial,2.69,0.0,567.08,0.505,0.44200000000000006,0.0,0.0
370,Polynomial,2.69,0.0,567.08,0.505,0.44300000000000006,0.0,0.0
371,Polynomial,2.69,0.0,567.08,0.505,0.44400000000000006,0.0,0.0
372,Polynomial,2.69,0.0,567.08,0.505,0.44500000000000006,0.0,0.0
373,Polynomial,2.69,0.0,567.08,0.505,0.44600000000000006,0.0,0.0
374,Polynomial,2.69,0.0,567.08,0.505,0.44700000000000006,0.0,0.0
375,Polynomial,2.69,0.0,567.08,0.505,0.44800000000000006,0.0,0.0
376,Polynomial,2.69,0.0,567.08,0.505,0.44900000000000007,0.0,0.0
377,Polynomial,2.69,0.0,567.08,0.505,0.45000000000000007,0.0,0.0
378,Polynomial,2.69,0.0,567.08,0.505,0.45100000000000007,0.0,0.0
379,Polynomial,2.69,0.0,567.08,0.505,0.45200000000000007,0.0,0.0
380,Polynomial,2.69,0.0,567.08,0.505,0.45300000000000007,0.0,0.0
381,Polynomial,2.69,0.0,567.08,0.505,0.45400000000000007,0.0,0.0
382,Polynomial,2.69,0.0,567.08,0.505,0.45500000000000007,0.0,0.0
383,Polynomial,2.69,0.0,567.08,0.505,0.45600000000000007,0.0,0.0
384,Polynomial,2.69,0.0,567.08,0.505,0.4570000000000001,0.0,0.0
385,Polynomial,2.69,0.0,567.08,0.505,0.4580000000000001,0.0,0.0
386,Polynomial,2.69,0.0,567.08,0.505,0.4590000000000001,0.0,0.0
387,Polynomial,2.69,0.0,567.08,0.505,0.4600000000000001,0.0,0.0
388,Polynomial,2.69,0.0,567.08,0.505,0.4610000000000001,0.0,0.0
389,Polynomial,2.69,0.0,567.08,0.505,0.4620000000000001,0.0,0.0
390,Polynomial,2.69,0.0,567.08,0.505,0.4630000000000001,0.0,0.0
391,Polynomial,2.69,0.0,567.08,0.505,0.4640000000000001,0.0,0.0
392,Polynomial,2.69,0.0,567.08,0.505,0.4650000000000001,0.0,0.0
393,Polynomial,2.69,0.0,567.08,0.505,0.4660000000000001,0.0,0.0
394,Polynomial,2.69,0.0,567.08,0.505,0.4670000000000001,0.0,0.0
395,Polynomial,2.69,0.0,567.08,0.505,0.4680000000000001,0.0,0.0
396,Polynomial,2.69,0.0,567.08,0.505,0.4690000000000001,0.0,0.0
397,Polynomial,2.69,0.0,567.08,0.505,0.4700000000000001,0.0,0.0
398,Polynomial,2.69,0.0,567.08,0.505,0.4710000000000001,0.0,0.0
399,Polynomial,2.69,0.0,567.08,0.505,0.4720000000000001,0.0,0.0
400,Polynomial,2.69,0.0,567.08,0.505,0.4730000000000001,0.0,0.0
401,Polynomial,2.69,0.0,567.08,0.505,0.4740000000000001,0.0,0.0
402,Polynomial,2.69,0.0,567.08,0.505,0.4750000000000001,0.0,0.0
403,Polynomial,2.69,0.0,567.08,0.505,0.4760000000000001,0.0,0.0
404,Polynomial,2.69,0.0,567.08,0.505,0.4770000000000001,0.0,0.0
405,Polynomial,2.69,0.0,567.08,0.505,0.4780000000000001,0.0,0.0
406,Polynomial,2.69,0.0,567.08,0.505,0.4790000000000001,0.0,0.0
407,Polynomial,2.69,0.0,567.08,0.505,0.48,0.0,0.0
